noreg,tanggal_record,plan,aktual,reject,persentase,hadir,keterangan
2603130,2026-05-30,115,25,0,21.74,✔,"packing pole adjuster 738 pcs, gosok material karat Galah 4M (10 pcs) 6M (15 pcs)."
2602002,2026-05-30,0,10,0,100.0,✔,
2602002,2026-06-02,15,23,0,153.33,✔,
2603131,2026-06-03,0,0,0,,✔,"Memindahkan ladle steel dan fcd dari area melting ke area ladle dengan forklift,lalu melakukan pembersihan sisa cairan dan slag dengan menggunakan dril lalu melakukan pengukuran ulang dimensi ladle untuk ladle fcd sehabis membuat ulang poket lalu di ukur dimensi poket dan ketinggian poket,ladle sehabis di ukur lalu di repair dengan menggunakan semen dra-zrp dan semen dra-lp526 setelah repair dengan menggunakan semen lalu rapikan ladle yang sudah repair dengan kuas dan air setelah ladle sudah siap repair lalu melakukan pemindahan ladle ke burner dengan menggunakan forklift sehabis di pindah di area burner lalu ladle yang akan dibuat masak di burner"
2602168,2026-06-03,0,41,0,100.0,✔,
2605011,2026-06-03,140,140,7,100.0,✔,Tidak ada
2604144,2026-06-03,0,0,0,,✔,"1. Melakukan penyebaran RPH ke setiap line produksi sesuai jadwal.
2. Mencetak ulang form produksi yang habis di area produksi.
3. Mengambil seluruh checksheet produksi dari masing-masing line.
4. Melakukan input data produksi secara berkala.
5. Menginput hasil produksi ke sistem Dynamics AX.
6. Melakukan stock opname"
2605040,2026-06-03,48,24,0,50.0,✔,
2603146,2026-06-02,170,170,170,100.0,✔,"Pengecekan Pasir
Pebantuan menaikan pasir di area FBO

Kendala :
-Pasir sand tank habis
-Stock pasir JS4 di gudang kosong"
2603146,2026-06-03,65,63,1,96.92,✔,"Pengecekan Pasir
Perbantuan menaikan pasir di area shake out dan FBO

Kendala :
-Pasir di sand tank habis
-Stock pasir JS4 di gudang kosong; Pengecekan Pasir
Perbantuan menaikan pasir di area shakeout dan FBO

Kendala :
-Pasir di sand tank habis
-Stock pasir JS4 di gudang kosong
-Pasir NG"
2604129,2026-06-02,0,86,0,100.0,✔,
2604129,2026-06-03,0,29,0,100.0,✔,
2601190,2026-06-03,0,173,0,100.0,✔,
2601176,2026-06-03,0,0,0,,✔,Time Management
2605033,2026-06-03,110,110,0,100.0,✔,tidak ada
2605018,2026-06-02,86,86,0,100.0,✔,Tidak ada
2605041,2026-06-03,142,142,0,100.0,✔,maintenance
2605018,2026-06-03,35,35,2,100.0,✔,Tidak ada
2605046,2026-06-04,0,39,0,100.0,✔,
2602006,2026-06-04,12,12,0,100.0,✔,
